topic_id,question_id,question,retrieved_list,top_k,Chunking_Type,split_length,split_overlap
W01,W01Q01,What sets apart CS programs from SE programs?,"[' [SD2]It is easy between some programs, and not as easy between some programs. For example, within first and second year, it is easy to transfer between SE and CS programs. Also, if you go from SE or CS to IT , it is easy to transfer. However, transfer from IT to CS, will require certain requirements and assessed on merit. If you are unsure, refer to the Program Manager of the TARGET PROGRAM.']",1,sentence,5,0
W01,W01Q02,How do CS and SE programs differ from each other?,"[' In each case, they are assigned a project supervisor who work closely with you and industry partner to get student experience. In addition to these mandatory WIL requirements, every year we have summer projects and other industry events, such as ANZ hackathon, AIIA iAwards competition, and other coding/ security competitions. Q: Whats the difference between Bachelor degrees and associate degrees? A: Associate degrees are normally pathway degrees to a specific bachelor degree. E.g .']",1,sentence,5,0
W01,W01Q03,Can you explain the variances between CS and SE programs?,"[' [SD2]It is easy between some programs, and not as easy between some programs. For example, within first and second year, it is easy to transfer between SE and CS programs. Also, if you go from SE or CS to IT , it is easy to transfer. However, transfer from IT to CS, will require certain requirements and assessed on merit. If you are unsure, refer to the Program Manager of the TARGET PROGRAM.']",1,sentence,5,0
W01,W01Q04,what's the difference between CS and SE programs?,"[' Q: What is the difference between Bachelor of Software Engineering (Professional) and Bachelor of Engineering (Software Engineering) (Honours) degree? A: A good question. As described above, B. Software Engineering (Professional) degree trains students to become professional softw are engineers and builds a skill set covering every stage of the SE life cycle, beginning from requirement elicitation to testing and maintenance. In B. Software Engineering, we train students to design, build and maintain reliable software solutions.']",1,sentence,5,0
W02,W02Q01,Can you describe the range of electives that are on offer?,"[' In addition, In general, each program has a suite of electives you can choose from. However, if you are interested in taking an elective outside the program structure, you can seek approval from the program manager.\x0cRMIT Classification: Trusted In the IT program, you can choose your electives to form a specialisation in one of the IT sub -disciplines (programming, security, DEVOPS, etc) or you can choose them broadly.']",1,sentence,5,0
W02,W02Q02,What options do I have for selecting elective courses?,[' We have a pathway study plan for such students. Roughly speaking you can get credit for around 75% of the courses you do in first year IT. [SD1] This is a ba ll-park percentage. Each students situation can be different. Q: Can I transfer between programs easily? A: There is no direct answer.'],1,sentence,5,0
W02,W02Q03,Can you provide details on the available choices of electives?,"['\x0cRMIT Classification: Trusted Q: What choice of majors and minors available? there are a number of discipline -specific and cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors. All of the majors and minors are focussed on future careers. If you are interested to know more about the majors and minors, we strongly encourage to attend one o f our info sessions. A summary of majors and minors are here: Majors Name Computer Science Software Engineering Data Science Information Technology Cyber Security Cybersecurity Minor only No majors in this program Digital Innovation Enterprise Systems Development Minor only Advanced Computer Science Advanced Data Science Minor only Minor only Minors : Name Computer Science Software Engineering Data Science Information Technology Cyber Security Blockchain Technologies Cyber Assurance Creative Computing Enterprise Systems Development Data Science AI and Machine Learning Cloud Computing Bioinformatics Data Analysis Network Infrastructure CISCO Networking Innovation and Enterprise Entrepreneurship Business Analytics Blockchain Enabled Business Business Information Systems Q: What choice of electives available? A: Depending on the program, a wide choice of electives -- in programming, mobile, and web, networking, cybersecurity, software engineering, is available.']",1,sentence,5,0
W02,W02Q04,What choice of electives available?,"['\x0cRMIT Classification: Trusted Q: What choice of majors and minors available? there are a number of discipline -specific and cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors. All of the majors and minors are focussed on future careers. If you are interested to know more about the majors and minors, we strongly encourage to attend one o f our info sessions. A summary of majors and minors are here: Majors Name Computer Science Software Engineering Data Science Information Technology Cyber Security Cybersecurity Minor only No majors in this program Digital Innovation Enterprise Systems Development Minor only Advanced Computer Science Advanced Data Science Minor only Minor only Minors : Name Computer Science Software Engineering Data Science Information Technology Cyber Security Blockchain Technologies Cyber Assurance Creative Computing Enterprise Systems Development Data Science AI and Machine Learning Cloud Computing Bioinformatics Data Analysis Network Infrastructure CISCO Networking Innovation and Enterprise Entrepreneurship Business Analytics Blockchain Enabled Business Business Information Systems Q: What choice of electives available? A: Depending on the program, a wide choice of electives -- in programming, mobile, and web, networking, cybersecurity, software engineering, is available.']",1,sentence,5,0
W03,W03Q01,Is it possible to undertake a double degree with Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W03,W03Q02,Can I enroll in a double degree program that includes Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W03,W03Q03,Are there any opportunities for a double degree program involving Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W03,W03Q04,Can I do a double degree with Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W04,W04Q01,Are there opportunities to pursue double degrees in CS?,"[' RMITs SE degree is very much software developm ent focussed degree, and it does not teach principles of engineering design. Also, there is no advanced math courses, such as Calculus, engineering maths, and statistics in our SE degree. However, they still be required to one discrete maths subject. Howev er, it meets the international standards in SE industry ACM and IEEE guidelines on SE curriculum, and also accredited by Australian Computer Society. Q: What there double degrees available in CS? A: WE have one double degree: 1.']",1,sentence,5,0
W04,W04Q02,Can students opt for double degrees in the CS field?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W04,W04Q03,Are there any options for combining CS with another discipline for a double degree?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W04,W04Q04,What there double degrees available in CS?,"[' RMITs SE degree is very much software developm ent focussed degree, and it does not teach principles of engineering design. Also, there is no advanced math courses, such as Calculus, engineering maths, and statistics in our SE degree. However, they still be required to one discrete maths subject. Howev er, it meets the international standards in SE industry ACM and IEEE guidelines on SE curriculum, and also accredited by Australian Computer Society. Q: What there double degrees available in CS? A: WE have one double degree: 1.']",1,sentence,5,0
W05,W05Q01,Does Engineers Australia accredit RMIT's Software Engineering degree?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W05,W05Q02,Can RMIT's Software Engineering degree be considered accredited by Engineers Australia?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W05,W05Q03,Is the Software Engineering degree at RMIT recognized and accredited by Engineers Australia?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W05,W05Q04,Is RMIT’s Software Engineering degree accredited by Engineers Australia?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W06,W06Q01,Are these programs recognized by the Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W06,W06Q02,Can I expect these programs to be accredited by the Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W06,W06Q03,Are the programs endorsed by the Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W06,W06Q04,Are these programs accredited by Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W07,W07Q01,Does the school offer work placements?,"[' Eng ( Software Engineering) is not accredited in Melbourne (its Vietnam version was accredited). One key feature differentiating two program is that B Software Eng program has one -year internship while other does not. The former one has 100% employability (4 years within last 5 years, except during Covid, every other year students found 100% employabi lity). Q: Will the school provide work placements? A: Well, not directly. We do have a lot of industry contacts, as well as a full -time industry coordinator who will assist students to establish industry links.']",1,sentence,5,0
W07,W07Q02,Will there be opportunities for work placements provided by the school?,"[' Eng ( Software Engineering) is not accredited in Melbourne (its Vietnam version was accredited). One key feature differentiating two program is that B Software Eng program has one -year internship while other does not. The former one has 100% employability (4 years within last 5 years, except during Covid, every other year students found 100% employabi lity). Q: Will the school provide work placements? A: Well, not directly. We do have a lot of industry contacts, as well as a full -time industry coordinator who will assist students to establish industry links.']",1,sentence,5,0
